"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"0","Ntng1",2.19625254139867e-251,1.53228596349521,0.98,0.622,7.09126020566801e-247
"0","Negr1",2.9667775541514e-188,0.743057243249242,1,0.992,9.57913136684403e-184
"0","Rmst",2.83318886483244e-177,1.02735483878013,0.988,0.707,9.14780020677098e-173
"0","Trpc6",7.1635923040921e-175,1.13901510247156,0.776,0.32,2.31298068314526e-170
"0","Kcnip4",2.10111244504695e-168,0.643340203650455,1,0.998,6.78407186256759e-164
"0","Rorb",3.97450541207424e-161,1.24985823306509,0.666,0.203,1.28328830745053e-156
"0","Ncam2",5.3008858691584e-156,0.8960195735776,1,0.962,1.71155002943387e-151
"0","Cpne4",6.39351015429602e-152,0.919995162082955,0.983,0.81,2.0643365586191e-147
"0","Pdzrn3",2.98057990644754e-150,1.0217334812742,0.906,0.567,9.62369640193781e-146
"0","Cntnap5a",1.25875462965674e-147,0.855353775052508,0.995,0.886,4.06426694823567e-143
"0","Oxr1",3.10077369619192e-144,0.705509632215119,1,0.973,1.00117781102645e-139
"0","Galntl6",1.02930074888785e-136,0.855940649251783,0.991,0.845,3.3234062580091e-132
"0","Scn7a",8.96656448351925e-132,0.788274773395039,0.53,0.15,2.8951243404387e-127
"0","Tox",7.36525638456279e-131,0.857251107341035,0.988,0.785,2.37809398144763e-126
"0","Trpm3",1.26445211777506e-129,1.06607053438385,0.993,0.915,4.0826629978721e-125
"0","Lrrc4c",1.05319388238807e-127,0.720790185107193,1,0.979,3.40055240745461e-123
"0","Sorcs1",1.92281104932258e-125,1.15627761032125,0.887,0.611,6.20837231605274e-121
"0","Fras1",3.55890852767834e-124,0.791369263533851,0.973,0.753,1.14910038541678e-119
"0","Grm8",1.7320116516151e-121,0.84208451711363,0.982,0.792,5.59231922073482e-117
"0","Grik2",2.05988251962415e-112,0.61081760709446,0.998,0.987,6.65094867936244e-108
"0","Grm7",1.30092102243853e-110,0.477238629040236,1,0.991,4.20041379724952e-106
"0","Tafa2",1.32506242611185e-107,0.762871281947048,0.951,0.76,4.27836156142995e-103
"0","Ptprd",1.99145992763736e-107,0.498605329942859,1,0.996,6.43002581435552e-103
"0","Ankfn1",1.03937402966644e-105,0.890125968866501,0.862,0.578,3.355930866987e-101
"0","Tenm2",4.30058646400401e-105,0.693600812372822,1,0.983,1.38857335749761e-100
"0","Pknox2",1.68725618068229e-104,0.677533294281387,0.959,0.861,5.44781275618697e-100
"0","Tshz2",2.09891537891819e-103,0.71612132646754,1,0.754,6.77697797545106e-99
"0","A830036E02Rik",2.51230699487615e-103,0.688985966185549,0.661,0.303,8.11173682505611e-99
"0","Mef2c",6.41967416680406e-102,0.641316361429698,0.998,0.927,2.0727843949777e-97
"0","Zfp536",1.07883092286061e-100,0.83435236901179,0.637,0.287,3.48332928373235e-96
"0","Cacnb4",2.78154950056275e-100,0.642446980668548,0.967,0.915,8.981067027417e-96
"0","Lrp1b",7.58543572907067e-99,0.572749758684072,1,0.991,2.44918548820234e-94
"0","Sorbs2",3.39369199331254e-98,0.448609987574896,1,0.992,1.09575527080075e-93
"0","Gabrg3",3.18956738580876e-97,0.730310504514969,0.972,0.868,1.02984751752993e-92
"0","Col26a1",5.56207269459343e-96,0.616217153637565,0.417,0.116,1.79588203163033e-91
"0","Galnt17",1.57180947063077e-90,0.568486286224946,0.977,0.882,5.07505841877262e-86
"0","Fstl4",1.58197822738158e-90,0.767124367137646,0.947,0.762,5.10789130056963e-86
"0","Nell1",3.07241990139207e-90,0.590629635077139,0.827,0.411,9.92022937761471e-86
"0","Satb1",7.96718607317458e-90,0.685658861665065,0.899,0.689,2.57244503930661e-85
"0","Celf2",2.54731892464664e-88,0.311177248211785,1,0.998,8.22478334389907e-84
"0","Lrfn5",2.56134201590243e-88,0.534543962493875,0.996,0.974,8.27006110094575e-84
"0","Ppm1l",7.22988826132754e-87,0.674720529032355,0.937,0.786,2.33438632181744e-82
